,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
0,2018-00056200,10/01/18,00:39,Baltimore Ave,10/01/18,00:39,DWI/DUI,Arrest
2,2018-00056408,10/02/18,01:30,4600 block of Norwich Rd,10/02/18,02:10,CDS Violation,CBE
4,2018-00056414,10/02/18,04:55,3400 block of Tulane Dr,10/02/18,04:55,Warrant/Summons Service,Arrest
6,2018-00056440,10/02/18,08:16,4700 block of Rossborough Ln,10/02/18,08:16,Injured/Sick Person,CBE
8,2018-00056455,10/01/18,18:30,7400 block of Calvert Service Ln,10/02/18,09:24,Theft,Investigation Pending
10,2018-00056469,10/02/18,10:32,7500 block of Mowatt Ln,10/02/18,10:32,Injured/Sick Person,CBE
12,2018-00056489,09/28/18,17:00,Montgomery at 7570 Regents Dr,10/02/18,14:14,Theft,Investigation Pending
14,2018-00056491,10/02/18,14:47,Delta Sigma Phi at 4300 Knox Rd,10/02/18,14:47,Warrant/Summons Service,Arrest
16,2018-00056586,10/02/18,23:03,"Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr",10/02/18,23:03,Injured/Sick Person,CBE
18,2018-00056603,10/03/18,00:57,4400 block of Knox Rd,10/03/18,00:57,Injured/Sick Person,CBE
20,2018-00056605,10/03/18,01:09,Knox Rd,10/03/18,01:09,Assault,Arrest
22,2018-00056643,07/09/18,16:16,660 block of W Realm Ct,10/03/18,09:23,Dept Property Damage/Loss,CBE
24,2018-00056671,10/03/18,12:00,"Hagerstown, Hagerstown Hall at 4000 Stadium Dr",10/03/18,12:09,Injured/Sick Person,CBE
26,2018-00056676,10/03/18,12:45,"John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr",10/03/18,13:13,Assault,Arrest
28,2018-00056746,10/03/18,23:20,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025 Stadium Dr",10/03/18,23:20,CDS Violation,CBE
30,2018-00056750,10/03/18,23:30,University Blvd,10/03/18,23:30,DWI/DUI,Arrest
32,2018-00056752,10/03/18,23:50,Ellicott Hall at 4052 Stadium Dr,10/03/18,23:50,CDS Violation,CBE
34,2018-00056759,10/04/18,01:48,North Gate at 4306 Campus Dr,10/04/18,01:48,DWI/DUI,Arrest
36,2018-00056889,10/04/18,16:45,"College Park Fire Station, Company 12 at 8115 Baltimore Ave",10/04/18,17:18,Suspicious Person/Auto,CBE
38,2018-00056892,10/04/18,17:30,"Edward St. John Learning and Teching Center, ESJ at 4131 Campus Dr",10/04/18,17:49,Suspicious Person/Auto,CBE
40,2018-00057019,10/05/18,01:20,Baltimore Ave,10/05/18,01:20,DWI/DUI,Arrest
42,2018-00057032,10/05/18,00:05,4300 block of Rowalt Dr,10/05/18,02:06,Injured Officer,CBE
44,2018-00057093,10/04/18,02:36,"Capital One Field at Maryland Stadium, Maryland Stadium",10/05/18,11:45,Theft,Investigation Pending
46,2018-00057109,10/05/18,03:00,3400 block of Tulane Dr,10/05/18,14:11,Theft,Investigation Pending
48,2018-00057155,10/05/18,19:29,4000 block of Stadium Dr,10/05/18,19:29,CDS Violation,CBE
50,2018-00057218,10/06/18,00:20,6800 block of Preinkert Dr,10/06/18,00:54,Vandalism,Active/Pending
52,2018-00057228,10/06/18,02:08,13 Fraternity Row,10/06/18,02:08,Injured/Sick Person,CBE
54,2018-00057229,10/06/18,02:00,Wind Tunnel Building at 8167 Paint Branch Dr,10/06/18,02:15,Injured/Sick Person,CBE
56,2018-00057275,10/02/18,09:30,"Architecture, Architecture Building at 3835 Campus Dr",10/06/18,14:46,Lost Property,CBE
58,2018-00057371,10/07/18,00:55,7500 block of Calvert Service Ln,10/07/18,00:55,Injured/Sick Person,CBE
60,2018-00057373,10/07/18,01:10,3900 block of Denton Service Ln,10/07/18,01:10,Injured/Sick Person,CBE
62,2018-00057379,10/07/18,01:52,3900 block of Denton Service Ln,10/07/18,01:52,Injured/Sick Person,CBE
64,2018-00057405,10/07/18,04:40,4300 block of Rowalt Dr,10/07/18,04:40,Injured/Sick Person,CBE
66,2018-00057431,10/07/18,01:00,1700 block of Montello Ave,10/07/18,11:01,Assist Other Agency (Title IX Related),CBE
68,2018-00057477,10/07/18,19:52,4300 block of Rowalt Dr,10/07/18,19:52,Emergency Petition,CBE
70,2018-00057480,10/07/18,21:10,4300 block of Knox Rd,10/07/18,21:28,Theft,Investigation Pending
72,2018-00057489,10/07/18,23:06,Health Center at 3983 Campus Dr,10/07/18,23:06,Injured/Sick Person,CBE
74,2018-00057499,10/08/18,00:43,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090 Union Dr",10/08/18,00:43,Injured/Sick Person,CBE
76,2018-00057501,10/08/18,00:51,"Dorchester, Dorchester Hall at 3947 Campus Dr",10/08/18,00:51,Injured/Sick Person,CBE
78,2018-00057554,10/08/18,07:45,3900 block of Campus Dr,10/08/18,08:01,Suspicious Person/Auto,CBE
80,2018-00057566,10/08/18,08:45,5100 block of Berwyn Rd,10/08/18,09:09,Robbery,Arrest
82,2018-00057596,10/03/18,18:30,7600 block of Library Ln,10/08/18,12:52,Vandalism,Investigation Pending
